GRAINS	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	
Central African Republic	0.1450110865	0.1757000903	0.1721731038	0.1830652791	0.1621621622	0.1816434407	0.1774266366	0.1692238267	0.1632112925	0.1671654553	0.1459044369	0.125476897	0.1196863392	0.1444972288	0.151221567	0.1387379858	0.1367806505	0.1269706008	0.1430385104	0.1424242424	0.1556705477	0.1622708985	0.1703844328	0.1768990635	0.1870581838	0.198212408	0.2137118372	0.2032171582	0.2090813094	0.2039957939	0.198014629	0.2045215563	0.2066027689	0.2071352503	0.2069148936	0.1956751055	0.1744125326	0.1942627076	0.2131742739	0.2101010101	0.212166918	0.2250626566	0.2302999492	0.2124560522	0.2379072063	0.2445759369	0.2344497608	0.228424015	0.2379616643	 
Chad	0.6073483842	0.5982293423	0.6018636171	0.5953608247	0.5829342621	0.6053910738	0.6038989809	0.5929919137	0.6015553522	0.582781457	0.5892239249	0.5652637187	0.5605889015	0.5771172182	0.5632984901	0.5546268657	0.5362663496	0.5379975875	0.5264105642	0.52200489	0.5157894737	0.5164698571	0.4902208202	0.4691119691	0.4940509915	0.4984596426	0.5057179161	0.5371428571	0.4985038899	0.489684466	0.5169538633	0.5385038504	0.5163438257	0.6120384421	0.5005561735	0.4895259096	0.4860158311	0.4995088409	0.4874245473	0.5007712082	0.4903417533	0.4776422764	0.516798419	0.517769003	0.5243482538	0.5391089109	0.5973120956	0.6006910168	0.6095856216	 
Chile	0.4745694834	0.4565560821	0.4504367641	0.4876065066	0.4955095666	0.4879154079	0.4816793893	0.4741606941	0.4654064272	0.4584755404	0.4680458072	0.4750183688	0.5243285325	0.5016550202	0.5004019293	0.5025028879	0.4788732394	0.4478927203	0.4600602864	0.4503731343	0.4473684211	0.4564299424	0.4680851064	0.457798522	0.4655102864	0.4891304348	0.4855072464	0.462601626	0.4577831132	0.455784963	0.4538816295	0.4316838996	0.4172502764	0.4151493081	0.401523395	0.3939503061	0.406025825	0.403150734	0.4062834702	0.4033850494	0.4073170732	0.3968965517	0.4046302695	0.4096674666	0.4189003436	0.4061548867	0.39373297	0.39600271	0.4031593407	 
China	0.5649717514	0.5796721311	0.6154328733	0.6378378378	0.6310517529	0.6289544236	0.6327092511	0.6380193512	0.6291161179	0.6472509526	0.6527627302	0.6571897212	0.6443624868	0.6541710665	0.6621267679	0.6764392324	0.6678851175	0.6745877789	0.6831969186	0.6733457596	0.6812933025	0.6875805758	0.6947456214	0.6899671053	0.6865733114	0.6806930693	0.6648892535	0.6563146998	0.6561199001	0.6478816946	0.6300411523	0.6285132383	0.617172115	0.6037663336	0.5895910781	0.5919732441	0.5800881705	0.5711705202	0.5668236146	0.550802139	0.5419034091	0.533733663	0.5236581921	0.516298633	0.5064258423	0.5034698126	0.4914266118	0.4850420168	0.4756016043	 
China (Hong Kong SAR)	0.5117715168	0.4955820207	0.4796934866	0.4924913362	0.4765204003	0.4396813354	0.453154162	0.4356005789	0.445882776	0.4282729805	0.4235253772	0.4362711864	0.4308420697	0.4347677596	0.4460902515	0.4216826265	0.3929306795	0.3895429363	0.3773456158	0.3812306635	0.3746203172	0.3665551839	0.3591178407	0.3731931669	0.367526952	0.3694740239	0.3665187064	0.335106383	0.3275541796	0.3240769959	0.3294524858	0.3212435233	0.3296319797	0.3007495315	0.3070040111	0.3122617535	0.3093709884	0.2987098908	0.2947576657	0.2917214192	0.2852950766	0.2959511568	0.2946936197	0.2914446882	0.294135995	0.2897921191	0.2985120893	0.2896615958	0.2883663366	 
China (Macao SAR)	0.6223224352	0.5977845684	0.5702795864	0.5439938791	0.5538461538	0.5321987121	0.5857427717	0.5569487983	0.580206634	0.577275175	0.5583921782	0.5234729934	0.5012083132	0.5202284626	0.5391879131	0.4887690925	0.4972422571	0.4922322159	0.4364326376	0.4450469993	0.44991274	0.4277966102	0.4173942243	0.4080604534	0.4119161456	0.4026696329	0.4177263969	0.3951798011	0.3833877403	0.3648600779	0.3408927286	0.3504431315	0.3494505495	0.3072817385	0.2969786293	0.3313275668	0.3303571429	0.3555377207	0.3764705882	0.3608289313	0.35249501	0.349609375	0.3418250951	0.3347937203	0.3322660975	0.3272597356	0.2933474876	0.2913553895	0.3107626515	 
Colombia	0.3680449209	0.3432609793	0.3579725449	0.3673780488	0.3736434109	0.3687830688	0.3635881104	0.3714436249	0.3438155136	0.3515745999	0.3489065606	0.3455264459	0.3478473581	0.3508274232	0.3323890463	0.3373655914	0.3238353686	0.3263065437	0.3322953737	0.3354866494	0.3255517827	0.3458064516	0.3399830221	0.342660353	0.3399036356	0.3370044053	0.3243243243	0.327046721	0.3277240219	0.3280201342	0.327204346	0.3307408923	0.323138833	0.3271213323	0.3188518231	0.3263239875	0.3286767559	0.3337254902	0.3333333333	0.342481203	0.3445190157	0.3413242009	0.3412608532	0.3446177254	0.3360308285	0.3321759259	0.3214422708	0.3191489362	0.315851735	 
Congo	0.0604026846	0.0708133971	0.0889952153	0.0860771402	0.0861405197	0.0929423459	0.1026919242	0.1181455633	0.1026438569	0.0990466102	0.120662869	0.128256513	0.1167095116	0.1352350766	0.1271271271	0.1262729124	0.137	0.1531936128	0.1461232604	0.1497093023	0.1576086957	0.1614877589	0.1741198858	0.1823308271	0.1793785311	0.1867612293	0.1745589601	0.1714285714	0.1878874583	0.1652478718	0.1933867735	0.2082710513	0.1980894922	0.1942336874	0.1867408907	0.1576805697	0.1984924623	0.2397058824	0.2449856734	0.2420470263	0.2477558348	0.2498890368	0.244504262	0.235711121	0.2194403535	0.21264637	0.2193973635	0.2195238095	0.2458939465	 
Costa Rica	0.3974619289	0.4044665012	0.3972332016	0.4042755344	0.4089236431	0.3967365967	0.4056244042	0.3901200369	0.3951686418	0.3879003559	0.3766233766	0.372540633	0.3555743243	0.3574128517	0.362054681	0.3591635916	0.3461382936	0.346106808	0.3532958199	0.385786802	0.3635634029	0.3483657427	0.3894192522	0.3921875	0.3558421851	0.3623574144	0.3645560135	0.3762523191	0.3625968277	0.3360087559	0.3356566398	0.3123156342	0.3423062932	0.3231218089	0.325036075	0.3383708072	0.3424153166	0.3524500907	0.3297606288	0.32427601	0.3308324402	0.3175063429	0.3272528274	0.3326071169	0.3228795438	0.3092495637	0.3161403509	0.3164200141	0.3164200141	 
Cote d'Ivoire	0.2186426117	0.2235973597	0.292	0.3009746589	0.3237437668	0.318340442	0.3343713507	0.3314372393	0.3166287016	0.326951952	0.3240847784	0.3479280688	0.3358297201	0.3153937475	0.2675064839	0.2862426036	0.3064159292	0.3140166606	0.3339070568	0.347840987	0.3528422469	0.3518138261	0.3720765415	0.3389296957	0.3467192542	0.3479046243	0.3544874202	0.3584269663	0.3500574493	0.3461838006	0.3515292296	0.3473887814	0.3603818616	0.3496062992	0.3548638132	0.3596928983	0.3154739603	0.3208048595	0.3117669315	0.3167938931	0.3301563096	0.3183352081	0.324545117	0.3390573621	0.3322580645	0.3332136445	0.3371469432	0.3443877551	0.3505683902	 
Croatia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3095546909	0.3200892857	0.3058724123	0.2873427673	0.2992557775	0.3128955696	0.3087008343	0.305151396	0.3084148728	0.3052208835	0.3160695282	0.305061082	0.2997960571	0.2978509066	0.2797927461	0.2756948933	0.2791068581	0.290394402	 
